Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
2001,3,9,2,1,3,2.2,Moderate
2002,2,7,0.5,4,3,3.76,Low
2003,2,7,1,6,1,3,Moderate
2004,3,6,2,3,5,4,High
2005,9,3,0,6,6,2.8,High
2006,1.5,8,0,6,1,3.9,High
2007,1,8,2,3,0,2.4,Low
2008,5,5,1,1,0,4,High
2009,4,6,3,2,1,3,High
2010,2,8,0,1,1,2,High
2011,4,8,1,2,0,3.5,High
2012,2,8,3,4,4,3,Moderate
2013,4,8,1,2,3,3.5,Moderate
2014,3,6,2,0,3,2.76,High
2015,4,8,0,3,2,2.5,High
2016,4,7,0,3,1,2.3,Moderate
2017,3,8,1,4,5,2.78,Moderate
2018,3,5,2,1,2,2.2,High
2019,2,8,2,3,0,3.36,Moderate
2020,2,8,0,2,0,3,Moderate
2021,2,7,5,4,1,2.5,Moderate
2022,2,10,4,6,2,2.8,Moderate
2023,2,6,1,1,3,4,High
2024,2,6,1,4,2,2.7,High
2025,2,8,2,4,1,3,Low
2026,10,7,2,3,1,3,Moderate
2027,3,8,1,0,0,3,High
2028,5,8,2,3,2,2,Low
2029,12,4,1,2,5,,High
2030,3,8,1,1,3,3.1,High
2031,3,9,0,5,0,0,High
2032,5,5,0,1,0,3,High
2033,8,7,0.5,2,1,2.3,High
2034,3,8,1,1,1,2.5,Moderate
2035,2,8,2,3.4,1,0,Moderate
2036,0,6,2,2,1,3.8,Low
2037,2,4,5,4,6,2,Low
2038,7,5,0,2,0,3,High
2039,3,9,2,3,3,2,Low
2040,4,8,1,2,1,3,Low
2041,5,5,2,3,1,2.03,High
2042,10,7,2,2,1,3,High
2043,3,8,1.3,3,1,3.64,Moderate
2044,2,7,3,5,5,2.5,High
2045,6,5,2,6,4,3.53,Moderate
2046,2,9,2,2,6,3,Low
2047,2,9,2,2,6,3,Low
2048,0,6,0,4,3,3.6,High
2049,2,8,5,4,1,4,Moderate
2050,2,8,0,3,0,2.36,Moderate
2051,4,3,2,1,4,3,Moderate
2052,3,3,1,4,2,3,Moderate
2053,3,6,1,2,0,2.8,Moderate